"start";"end";"Name of Structure";"Type of Structure";"Picture of Structure";"Picture of Structure_URL";"Coordinate of Structure";"_Coordinate of Structure_latitude";"_Coordinate of Structure_longitude";"_Coordinate of Structure_altitude";"_Coordinate of Structure_precision";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2025-06-15T14:25:35.199+01:00";"2025-06-15T16:11:05.955+01:00";"ARCHITECTURE POSTGRADUATE WING ( GLASS-HOUSE )";"Lecture Hall/Class-Rooms";"1749993951729.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fa6c01d90-b1cc-4926-98ec-99c12d78057c%2F1749993951729.jpg";"6.6891462 3.1675705 57.29999923706055 4.614";"6.6891462";"3.1675705";"57.29999923706055";"4.614";"498220906";"a6c01d90-b1cc-4926-98ec-99c12d78057c";"2025-06-16T08:01:57";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"11"
"2025-06-15T14:28:07.027+01:00";"2025-06-15T16:11:11.130+01:00";"EXCEEDING GRACE";"Food Vendors";"1749994119636.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Ffdc72db0-10f0-4b52-8684-131b76261bbd%2F1749994119636.jpg";"6.6890957 3.1673778 69.0 4.057";"6.6890957";"3.1673778";"69.0";"4.057";"498220956";"fdc72db0-10f0-4b52-8684-131b76261bbd";"2025-06-16T08:02:04";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"12"
"2025-06-15T14:29:49.571+01:00";"2025-06-15T16:11:16.173+01:00";"AKARA SPOT";"Food Vendors";"1749994212011.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fcad6e230-f438-49e7-b91e-4578f4b1eb2d%2F1749994212011.jpg";"6.6891089 3.167224 59.39999771118164 4.4";"6.6891089";"3.167224";"59.39999771118164";"4.4";"498221004";"cad6e230-f438-49e7-b91e-4578f4b1eb2d";"2025-06-16T08:02:12";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"13"
"2025-06-15T14:30:36.522+01:00";"2025-06-15T16:11:24.130+01:00";"YOMICE CAFE";"Food Vendors";"1749994247645.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fdb4735b5-28d5-464d-a32d-2061cfc90059%2F1749994247645.jpg";"6.6891508 3.1672383 59.39999771118164 3.85";"6.6891508";"3.1672383";"59.39999771118164";"3.85";"498221054";"db4735b5-28d5-464d-a32d-2061cfc90059";"2025-06-16T08:02:20";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"14"
"2025-06-15T14:31:22.951+01:00";"2025-06-16T08:53:18.432+01:00";"SLASH CAFE  ( AUNTY KEMI )";"Food Vendors";"1749994306093.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F37bc6981-30f3-48c8-b131-2bd1900000ab%2F1749994306093.jpg";"6.6891688 3.1672352 59.39999771118164 4.85";"6.6891688";"3.1672352";"59.39999771118164";"4.85";"498221098";"37bc6981-30f3-48c8-b131-2bd1900000ab";"2025-06-16T08:02:28";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"15"
"2025-06-15T14:32:15.563+01:00";"2025-06-16T08:53:24.778+01:00";"EKORUPA AND SONS";"Drink Stores";"1749994376145.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fbe7c26a5-211d-4ca6-ad31-dc15932cbd9c%2F1749994376145.jpg";"6.6893914 3.167243 59.39999771118164 4.3";"6.6893914";"3.167243";"59.39999771118164";"4.3";"498221170";"be7c26a5-211d-4ca6-ad31-dc15932cbd9c";"2025-06-16T08:02:36";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"16"
"2025-06-15T14:33:38.284+01:00";"2025-06-16T08:53:30.983+01:00";"FAYDAM FOODS";"Food Vendors";"1749994444200.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F4be6d23c-d493-4220-a3b5-426cd31ca253%2F1749994444200.jpg";"6.6893583 3.1672283 59.39999771118164 4.9";"6.6893583";"3.1672283";"59.39999771118164";"4.9";"498221225";"4be6d23c-d493-4220-a3b5-426cd31ca253";"2025-06-16T08:02:44";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"17"
"2025-06-15T14:34:28.463+01:00";"2025-06-16T08:53:37.059+01:00";"MODAV FOODIES KINGDOM";"Food Vendors";"1749994511748.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F161e417a-cc04-4061-90d3-cc30d8512051%2F1749994511748.jpg";"6.68923 3.1673183 59.39999771118164 4.9";"6.68923";"3.1673183";"59.39999771118164";"4.9";"498221289";"161e417a-cc04-4061-90d3-cc30d8512051";"2025-06-16T08:02:52";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"18"
"2025-06-15T14:36:02.730+01:00";"2025-06-16T08:53:54.008+01:00";"SMOOTHIE SHOP ( OKWUIBARTH )";"Drink Stores";"1749994611988.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F005175d3-a953-44c3-9c1b-e58f7aa02b03%2F1749994611988.jpg";"6.6892779 3.1672546 59.39999771118164 3.966";"6.6892779";"3.1672546";"59.39999771118164";"3.966";"498221357";"005175d3-a953-44c3-9c1b-e58f7aa02b03";"2025-06-16T08:02:59";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"19"
"2025-06-15T14:38:09.720+01:00";"2025-06-16T08:53:59.446+01:00";"FAVOURS FAVOURITE";"";"1749994738363.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F6b96db9a-299a-45a8-ae6a-e7c1025a5d55%2F1749994738363.jpg";"6.6892798 3.1672998 59.5 4.4";"6.6892798";"3.1672998";"59.5";"4.4";"498221434";"6b96db9a-299a-45a8-ae6a-e7c1025a5d55";"2025-06-16T08:03:06";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"20"
"2025-06-15T14:39:38.827+01:00";"2025-06-16T08:54:04.448+01:00";"IYAN SPOT";"Food Vendors";"1749994800060.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F66cc63a3-d981-420d-ad77-33f544286ba6%2F1749994800060.jpg";"6.6894562 3.16716 57.20000076293945 4.92";"6.6894562";"3.16716";"57.20000076293945";"4.92";"498221525";"66cc63a3-d981-420d-ad77-33f544286ba6";"2025-06-16T08:03:13";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"21"
"2025-06-15T14:41:36.715+01:00";"2025-06-16T08:54:10.305+01:00";"PROTOTYPE";"Confectionary Stores";"1749994925865.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fce5451d1-11f6-4feb-8e36-70f7b391402f%2F1749994925865.jpg";"6.6897339 3.1672686 60.29999923706055 4.662";"6.6897339";"3.1672686";"60.29999923706055";"4.662";"498221596";"ce5451d1-11f6-4feb-8e36-70f7b391402f";"2025-06-16T08:03:23";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"22"
"2025-06-15T14:43:15.265+01:00";"2025-06-16T08:54:16.306+01:00";"MISTURA HAIR BEAUTY PALACE";"Beauty/Maintenance Store";"1749995019043.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fc4f5f8ce-0407-486b-9d0d-0c5d98f2cfe3%2F1749995019043.jpg";"6.6895659 3.1671073 57.20000076293945 3.85";"6.6895659";"3.1671073";"57.20000076293945";"3.85";"498221645";"c4f5f8ce-0407-486b-9d0d-0c5d98f2cfe3";"2025-06-16T08:03:30";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"23"
